Name,URL,Total codebase size,Total lines of comments,Stars on the repository,Forks on the repository,Contributors on the repository,Comment % on repository,Issues,Codesize per issue,Code + comment size
immer,https://github.com/immerjs/immer.git,28083,891,22800,731,155,3.1,562,51.55516014,28974
commander,https://github.com/tj/commander.js.git,21116,2382,22700,1600,170,10.1,881,26.67196368,23498
pure,https://github.com/pure-css/pure.git,22431,490,22300,2500,66,2.1,563,40.71225577,22921
sharp,https://github.com/lovell/sharp.git,18871,3325,22300,1100,162,15,2888,7.685595568,22196
the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler.git,268,716,22300,2500,18,72.8,55,17.89090909,984
ember,https://github.com/emberjs/ember.js.git,81605,24360,22200,4300,885,23,6571,16.1261604,105965
sails,https://github.com/balderdashy/sails.git,30685,8861,22200,2000,236,22.4,6300,6.277142857,39546
redux-saga,https://github.com/redux-saga/redux-saga.git,16836,4184,22200,2000,325,19.9,1438,14.61752434,21020
swagger-ui,https://github.com/swagger-api/swagger-ui.git,42510,1570,22000,8300,468,3.6,4818,9.149024491,44080
ramda,https://github.com/ramda/ramda.git,23813,13047,22000,1400,311,35.4,1559,23.64336113,36860
plyr,https://github.com/sampotts/plyr.git,8759,2889,22000,2600,170,24.8,1873,6.21890016,11648
octotree,https://github.com/ovity/octotree.git,10803,819,22000,1900,66,7,732,15.87704918,11622
wepy,https://github.com/Tencent/wepy.git,37541,2952,21800,3100,169,7.3,2133,18.98406001,40493
photoswipe,https://github.com/dimsemenov/PhotoSwipe.git,24638,7204,21800,3300,59,22.6,1699,18.74161271,31842
portainer,https://github.com/portainer/portainer.git,111507,8269,21700,2000,221,6.9,4116,29.10009718,119776
fabric,https://github.com/fabricjs/fabric.js.git,60655,23356,21700,3100,268,27.8,5410,15.52883549,84011
draft-js,https://github.com/facebook/draft-js.git,26363,5742,21700,2600,247,17.9,1740,18.45114943,32105
feather,https://github.com/feathericons/feather.git,13660,163,21700,1100,35,1.2,572,24.16608392,13823
mostly-adequate-guide,https://github.com/MostlyAdequate/mostly-adequate-guide.git,3973,745,21700,1800,169,15.8,267,17.67041199,4718
appwrite,https://github.com/appwrite/appwrite.git,157618,4182,21600,1700,247,2.6,1273,127.1013354,161800
rollup,https://github.com/rollup/rollup.git,108186,4795,21600,1100,301,4.2,2793,40.45148586,112981
mocha,https://github.com/mochajs/mocha.git,59798,5583,21400,2900,477,8.5,2810,23.26725979,65381
quasar,https://github.com/quasarframework/quasar.git,278117,9533,21200,2800,544,3.3,6742,42.66538119,287650
dragula,https://github.com/bevacqua/dragula.git,3097,57,21200,2000,39,1.8,507,6.220907298,3154
