Name,URL,Total codebase size,Total lines of comments,Stars on the repository,Forks on the repository,Contributors on the repository,Comment % on repository,Issues
drawio,https://github.com/jgraph/drawio.git,,,29300,6000,31,,2401
vue-cli,https://github.com/vuejs/vue-cli.git,,,29200,6200,474,,5278
react-boilerplate,https://github.com/react-boilerplate/react-boilerplate.git,,,28400,6100,219,,1878
hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards.git,,,28600,2500,949,,1218
awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets.git,,,28500,4600,120,,56
backbone,https://github.com/jashkenas/backbone.git,,,27900,5600,322,,2365
todovmc,https://github.com/tastejs/todomvc.git,,,27800,13900,323,,760
async,https://github.com/caolan/async.git,,,27600,2400,231,,1100
500lines,https://github.com/aosabook/500lines.git,,,27500,5900,61,,68
vuex,https://github.com/vuejs/vuex.git,,,27600,9500,312,,1225
marked,https://github.com/markedjs/marked.git,,,27500,3200,144,,1237
slick,https://github.com/kenwheeler/slick.git,,,27500,5900,147,,3500
standard,https://github.com/standard/standard.git,,,27000,2200,170,,1176
project-guidelines,https://github.com/elsewhencode/project-guidelines.git,,,26900,3000,75,,37
tessarect,https://github.com/naptha/tesseract.js.git,,,26800,1800,56,,484
react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd.git,,,27000,2100,124,,1465
lottie-web,https://github.com/airbnb/lottie-web.git,,,26700,2700,81,,2590
underscore,https://github.com/jashkenas/underscore.git,,,26400,5600,280,,1402
husky,https://github.com/typicode/husky.git,,,26500,937,97,,831
webtorrent,https://github.com/webtorrent/webtorrent.git,,,26300,2600,164,,1503
wtfjs,https://github.com/denysdovhan/wtfjs.git,,,26200,1900,80,,96
sequalize,https://github.com/sequelize/sequelize.git,,,26100,4000,1010,,9688
layui,https://github.com/layui/layui.git,,,26000,7000,17,,765
particles,https://github.com/VincentGarreau/particles.js.git,,,25800,4600,14,,380
bypalls-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome.git,,,25700,1900,55,,997
daily-interview-question,https://github.com/Advanced-Frontend/Daily-Interview-Question.git,,,25500,3200,6,,530
request,https://github.com/request/request.git,,,25500,3200,312,,2263
fetch,https://github.com/github/fetch.git,,,25300,3100,73,,591
select2,https://github.com/select2/select2.git,,,25300,6300,490,,4696
uppy,https://github.com/transloadit/uppy.git,,,25200,1700,324,,1780
Modernizr,https://github.com/Modernizr/Modernizr.git,,,25200,3000,291,,1470
odoo,https://github.com/odoo/odoo.git,,,25000,16200,1393,,15003
Codemirror,https://github.com/codemirror/CodeMirror.git,,,24900,4900,841,,4070
Sortable,https://github.com/SortableJS/Sortable.git,,,24800,3500,151,,1623
Gitbook,https://github.com/GitbookIO/gitbook.git,,,24700,3700,99,,0
nylas-mail,https://github.com/nylas/nylas-mail.git,,,24600,1500,100,,3420
learngitbranching,https://github.com/pcottle/learnGitBranching.git,,,24600,5300,232,,402
lighthouse,https://github.com/GoogleChrome/lighthouse.git,,,24600,8600,309,,8261
ccxt,https://github.com/ccxt/ccxt.git,,,24400,6000,553,,6957
ace,https://github.com/ajaxorg/ace.git,,,24400,5200,419,,2741
mongoose,https://github.com/Automattic/mongoose.git,,,24300,3500,706,,9412
jspdf,https://github.com/parallax/jsPDF.git,,,24300,4300,191,,2211
nprogress,https://github.com/rstacruz/nprogress.git,,,24200,1800,33,,142
yapi,https://github.com/YMFE/yapi.git,,,24200,4300,80,,2278
NeteaseCloudMusicapi,https://github.com/Binaryify/NeteaseCloudMusicApi.git,,,24100,8400,68,,1149
nodemon,https://github.com/remy/nodemon.git,,,24000,1600,150,,1522
OpenAPI-specification,https://github.com/OAI/OpenAPI-Specification.git,,,23700,8300,198,,1833
react-virtualized,https://github.com/bvaughn/react-virtualized.git,,,23600,3000,201,,1118
fastify,https://github.com/fastify/fastify.git,,,23100,1700,491,,1400
hammer,https://github.com/hammerjs/hammer.js.git,,,23000,2700,87,,1033
immer,https://github.com/immerjs/immer.git,,,22800,731,155,,562
commander,https://github.com/tj/commander.js.git,,,22700,1600,170,,881
the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler.git,,,22300,2500,18,,55
pure,https://github.com/pure-css/pure.git,,,22300,2500,66,,563
sharp,https://github.com/lovell/sharp.git,,,22300,1100,162,,2888
sails,https://github.com/balderdashy/sails.git,,,22200,2000,236,,6300
redux-saga,https://github.com/redux-saga/redux-saga.git,,,22200,2000,325,,1438
ember,https://github.com/emberjs/ember.js.git,,,22200,4300,885,,6571
swagger-ui,https://github.com/swagger-api/swagger-ui.git,,,22000,8300,468,,4818
octotree,https://github.com/ovity/octotree.git,,,22000,1900,66,,732
ramda,https://github.com/ramda/ramda.git,,,22000,1400,311,,1559
plyr,https://github.com/sampotts/plyr.git,,,22000,2600,170,,1873
photoswipe,https://github.com/dimsemenov/PhotoSwipe.git,,,21800,3300,59,,1699
wepy,https://github.com/Tencent/wepy.git,,,21800,3100,169,,2133
portainer,https://github.com/portainer/portainer.git,,,21700,2000,221,,4116
fabric,https://github.com/fabricjs/fabric.js.git,,,21700,3100,268,,5410
draft-js,https://github.com/facebook/draft-js.git,,,21700,2600,247,,1740
mostly-adequate-guide,https://github.com/MostlyAdequate/mostly-adequate-guide.git,,,21700,1800,169,,267
appwrite,https://github.com/appwrite/appwrite.git,,,21600,1700,247,,1273
rollup,https://github.com/rollup/rollup.git,,,21600,1100,301,,2793
feather,https://github.com/feathericons/feather.git,,,21700,1100,35,,572
mocha,https://github.com/mochajs/mocha.git,,,21400,2900,477,,2810
quasar,https://github.com/quasarframework/quasar.git,,,21200,2800,544,,6742
dragula,https://github.com/bevacqua/dragula.git,,,21200,2000,39,,507
